CustomerID,Recency,Frequency,Monetary,Cluster
153,545,1,6.79,Inactive Customers
154,65,5,69.19,Low-Activity Customers
155,545,1,23.99,Inactive Customers
156,545,1,10.77,Inactive Customers
157,489,2,80.21,Inactive Customers
158,545,1,43.05,Inactive Customers
159,545,1,19.75,Inactive Customers
160,545,1,19.74,Inactive Customers
161,29,11,416.91,Low-Activity Customers
162,545,1,119.54,Inactive Customers
163,545,1,25.74,Inactive Customers
164,1,8,245.59,Low-Activity Customers
165,29,3,34.75,Low-Activity Customers
166,34,8,173.18,Low-Activity Customers
167,202,8,186.46,Low-Activity Customers
168,545,1,14.96,Inactive Customers
169,545,1,11.77,Inactive Customers
170,154,2,74.39,Low-Activity Customers
171,545,1,14.96,Inactive Customers
172,545,1,50.95,Inactive Customers
173,88,2,49.83,Low-Activity Customers
174,540,2,36.73,Inactive Customers
175,545,1,27.77,Inactive Customers
176,545,1,11.77,Inactive Customers
177,48,32,570.08,Engaged Customers
178,545,1,12.49,Inactive Customers
179,126,11,174.03,Low-Activity Customers
180,306,2,62.59,Inactive Customers
181,545,1,43.7,Inactive Customers
182,43,4,91.72,Low-Activity Customers
183,545,1,9.99,Inactive Customers
184,43,2,31.87,Low-Activity Customers
185,39,5,115.19,Low-Activity Customers
186,286,2,34.45,Inactive Customers
187,513,2,36.11,Inactive Customers
188,545,1,13.77,Inactive Customers
189,545,1,294.03,Inactive Customers
190,545,1,15.36,Inactive Customers
191,541,1,70.23,Inactive Customers
192,333,6,160.23,Inactive Customers
193,545,1,27.94,Inactive Customers
194,535,2,255.78,Inactive Customers
195,161,7,113.79,Low-Activity Customers
196,545,1,25.54,Inactive Customers
197,421,3,53.97,Inactive Customers
198,545,1,15.76,Inactive Customers
199,545,1,14.37,Inactive Customers
200,524,2,84.29,Inactive Customers
201,63,5,73.3,Low-Activity Customers
202,544,2,146.46,Inactive Customers
203,341,4,63.83,Inactive Customers
204,531,1,72.23,Inactive Customers
205,205,4,102.07,Low-Activity Customers
206,545,1,17.99,Inactive Customers
207,226,3,94.26,Low-Activity Customers
208,129,2,133.63,Low-Activity Customers
209,472,3,116.17,Inactive Customers
210,96,2,86.03,Low-Activity Customers
211,545,1,7.78,Inactive Customers
212,545,1,14.37,Inactive Customers
213,527,2,22.54,Inactive Customers
214,252,7,222.22,Low-Activity Customers
215,545,1,11.77,Inactive Customers
216,545,1,13.97,Inactive Customers
217,28,4,195.92,Low-Activity Customers
218,509,1,57.48,Inactive Customers
219,409,2,74.02,Inactive Customers
220,545,1,57.85,Inactive Customers
221,545,1,12.49,Inactive Customers
222,243,3,86.33,Low-Activity Customers
223,545,1,47.93,Inactive Customers
224,545,1,28.33,Inactive Customers
225,333,5,105.61,Inactive Customers
226,56,6,170.12,Low-Activity Customers
227,310,5,164.58,Low-Activity Customers
228,175,13,339.79,Low-Activity Customers
229,3,5,83.49,Low-Activity Customers
230,389,2,79.96,Inactive Customers
231,545,1,69.04,Inactive Customers
232,545,1,42.98,Inactive Customers
233,545,1,12.99,Inactive Customers
234,511,2,23.96,Inactive Customers
235,545,1,7.98,Inactive Customers
236,545,1,16.7,Inactive Customers
237,545,1,23.54,Inactive Customers
238,338,5,305.19,Low-Activity Customers
239,545,1,28.74,Inactive Customers
240,479,2,30.95,Inactive Customers
241,52,4,100.55,Low-Activity Customers
242,529,2,65.43,Inactive Customers
243,544,1,17.96,Inactive Customers
244,20,25,1287.41,Engaged Customers
245,19,7,148.75,Low-Activity Customers
246,10,20,750.18,Engaged Customers
247,49,4,94.15,Low-Activity Customers
248,544,1,14.37,Inactive Customers
249,496,3,92.28,Inactive Customers
250,311,3,104.57,Inactive Customers
251,544,1,40.26,Inactive Customers
252,20,6,348.26,Low-Activity Customers
253,544,1,13.97,Inactive Customers
254,544,1,15.96,Inactive Customers
255,544,1,11.77,Inactive Customers
256,442,3,79.58,Inactive Customers
257,82,3,55.75,Low-Activity Customers
258,544,1,59.97,Inactive Customers
259,544,1,14.79,Inactive Customers
260,541,1,57.27,Inactive Customers
261,544,1,8.77,Inactive Customers
262,544,1,48.95,Inactive Customers
263,544,1,14.79,Inactive Customers
264,544,1,16.99,Inactive Customers
265,495,3,135.6,Inactive Customers
266,519,2,99.28,Inactive Customers
267,544,1,37.47,Inactive Customers
268,463,1,7.78,Inactive Customers
269,500,1,29.99,Inactive Customers
270,522,2,269.17,Inactive Customers
271,544,1,12.77,Inactive Customers
272,451,3,38.71,Inactive Customers
273,462,2,21.75,Inactive Customers
274,544,1,5.78,Inactive Customers
275,544,1,60.47,Inactive Customers
276,29,4,118.35,Low-Activity Customers
277,113,2,31.89,Low-Activity Customers
278,544,1,23.97,Inactive Customers
279,320,3,139.81,Inactive Customers
280,428,3,256.45,Inactive Customers
281,544,1,14.7,Inactive Customers
282,544,1,53.88,Inactive Customers
283,544,1,37.71,Inactive Customers
284,544,1,20.0,Inactive Customers
285,544,1,25.99,Inactive Customers
286,533,2,87.27,Inactive Customers
287,544,1,13.97,Inactive Customers
288,424,2,28.93,Inactive Customers
289,507,2,20.54,Inactive Customers
290,544,1,49.98,Inactive Customers
291,544,1,199.15,Inactive Customers
292,174,4,65.88,Low-Activity Customers
293,102,2,173.78,Low-Activity Customers
294,221,2,27.36,Low-Activity Customers
295,95,4,386.58,Low-Activity Customers
296,544,1,25.53,Inactive Customers
297,544,1,14.96,Inactive Customers
298,544,1,68.04,Inactive Customers
299,236,2,22.76,Low-Activity Customers
300,4,22,538.43,Low-Activity Customers
301,231,4,173.38,Low-Activity Customers
302,544,1,27.13,Inactive Customers
303,544,1,10.77,Inactive Customers
304,399,5,113.34,Inactive Customers
305,237,2,152.27,Low-Activity Customers
306,544,1,30.99,Inactive Customers
307,488,1,28.45,Inactive Customers
308,544,1,12.77,Inactive Customers
309,471,1,52.5,Inactive Customers
310,539,1,39.32,Inactive Customers
311,544,1,69.25,Inactive Customers
312,191,2,102.73,Low-Activity Customers
313,37,20,2432.29,Engaged Customers
314,533,3,231.13,Inactive Customers
315,472,3,88.86,Inactive Customers
316,334,4,72.23,Inactive Customers
317,144,5,231.15,Low-Activity Customers
318,169,3,64.49,Low-Activity Customers
319,539,2,41.69,Inactive Customers
320,544,1,9.99,Inactive Customers
321,544,1,103.05,Inactive Customers
322,360,2,52.33,Inactive Customers
323,8,9,412.75,Low-Activity Customers
324,276,2,59.01,Low-Activity Customers
325,544,1,72.82,Inactive Customers
326,544,1,14.37,Inactive Customers
327,544,1,40.7,Inactive Customers
328,0,24,692.62,Engaged Customers
329,123,5,93.97,Low-Activity Customers
330,544,1,14.96,Inactive Customers
331,544,1,16.36,Inactive Customers
332,544,1,15.36,Inactive Customers
333,544,1,15.9,Inactive Customers
334,544,1,40.11,Inactive Customers
335,540,2,26.73,Inactive Customers
336,544,1,11.77,Inactive Customers
337,61,2,38.03,Low-Activity Customers
338,544,1,25.74,Inactive Customers
339,221,5,411.84,Low-Activity Customers
340,544,1,46.3,Inactive Customers
341,338,2,106.6,Inactive Customers
342,544,1,17.9,Inactive Customers
343,240,4,177.43,Low-Activity Customers
344,36,17,580.12,Engaged Customers
345,242,2,90.25,Low-Activity Customers
346,544,1,26.76,Inactive Customers
347,544,1,15.36,Inactive Customers
348,339,2,97.52,Inactive Customers
349,544,1,44.88,Inactive Customers
350,544,1,46.37,Inactive Customers
351,544,1,8.77,Inactive Customers
352,510,2,16.76,Inactive Customers
353,503,2,69.23,Inactive Customers
354,544,1,14.99,Inactive Customers
355,539,2,82.81,Inactive Customers
356,544,1,28.74,Inactive Customers
357,510,2,91.45,Inactive Customers
358,55,5,118.92,Low-Activity Customers
359,544,1,76.45,Inactive Customers
360,36,6,102.75,Low-Activity Customers
361,128,2,37.73,Low-Activity Customers
362,544,4,58.0,Inactive Customers
363,543,2,36.96,Inactive Customers
364,540,1,29.97,Inactive Customers
365,100,12,297.8,Low-Activity Customers
366,544,1,15.36,Inactive Customers
367,544,1,44.77,Inactive Customers
368,267,2,135.58,Low-Activity Customers
369,544,1,7.98,Inactive Customers
370,190,4,193.89,Low-Activity Customers
371,200,2,35.47,Low-Activity Customers
372,434,2,36.73,Inactive Customers
373,176,9,262.18,Low-Activity Customers
374,16,7,247.82,Low-Activity Customers
375,324,4,107.41,Inactive Customers
376,18,3,90.81,Low-Activity Customers
377,544,1,38.5,Inactive Customers
378,512,2,29.8,Inactive Customers
379,513,4,89.85,Inactive Customers
380,542,1,47.08,Inactive Customers
381,356,3,50.41,Inactive Customers
382,544,1,12.49,Inactive Customers
383,544,1,30.72,Inactive Customers
384,544,1,11.97,Inactive Customers
385,373,2,21.78,Inactive Customers
386,544,1,18.99,Inactive Customers
387,25,13,841.13,Engaged Customers
388,544,1,10.77,Inactive Customers
389,24,10,571.76,Engaged Customers
390,542,1,15.36,Inactive Customers
391,543,1,32.0,Inactive Customers
392,544,1,58.91,Inactive Customers
393,544,1,29.16,Inactive Customers
394,528,2,56.75,Inactive Customers
395,544,1,26.99,Inactive Customers
396,29,7,260.62,Low-Activity Customers
397,425,2,104.63,Inactive Customers
398,0,44,1569.33,Engaged Customers
399,510,2,62.32,Inactive Customers
400,107,9,151.76,Low-Activity Customers
401,544,1,41.74,Inactive Customers
402,542,2,24.74,Inactive Customers
403,544,1,11.77,Inactive Customers
404,71,7,139.18,Low-Activity Customers
405,544,1,14.99,Inactive Customers
406,55,5,219.21,Low-Activity Customers
407,540,1,21.74,Inactive Customers
408,544,1,25.99,Inactive Customers
409,544,1,14.37,Inactive Customers
410,225,2,42.97,Low-Activity Customers
411,179,20,1769.3,Engaged Customers
412,164,2,45.8,Low-Activity Customers
413,544,1,25.94,Inactive Customers
414,503,1,43.95,Inactive Customers
415,544,1,31.99,Inactive Customers
416,544,1,47.98,Inactive Customers
417,299,4,214.98,Low-Activity Customers
418,544,1,24.98,Inactive Customers
419,544,1,108.72,Inactive Customers
420,544,1,16.36,Inactive Customers
421,364,5,206.83,Inactive Customers
422,412,5,215.32,Inactive Customers
423,544,1,24.99,Inactive Customers
424,20,8,293.94,Low-Activity Customers
425,544,1,14.99,Inactive Customers
426,544,1,10.99,Inactive Customers
427,544,1,11.97,Inactive Customers
428,544,1,14.99,Inactive Customers
429,16,3,102.4,Low-Activity Customers
430,48,4,183.55,Low-Activity Customers
431,14,6,303.61,Low-Activity Customers
432,544,1,64.44,Inactive Customers
433,15,7,284.94,Low-Activity Customers
434,544,1,33.31,Inactive Customers
435,544,1,40.7,Inactive Customers
436,397,5,158.27,Inactive Customers
437,544,1,28.13,Inactive Customers
438,544,1,24.96,Inactive Customers
439,544,1,41.11,Inactive Customers
440,544,1,14.96,Inactive Customers
441,27,10,219.25,Low-Activity Customers
442,544,1,14.79,Inactive Customers
443,529,2,39.98,Inactive Customers
444,544,1,13.97,Inactive Customers
445,100,8,200.7,Low-Activity Customers
446,1,6,112.23,Low-Activity Customers
447,544,1,19.94,Inactive Customers
448,544,1,36.71,Inactive Customers
449,528,2,84.99,Inactive Customers
450,386,2,59.66,Inactive Customers
451,528,1,24.99,Inactive Customers
452,481,2,24.74,Inactive Customers
453,406,2,181.16,Inactive Customers
454,232,4,92.28,Low-Activity Customers
455,544,1,0.0,Inactive Customers
456,222,7,478.53,Low-Activity Customers
457,536,3,509.26,Inactive Customers
458,49,6,92.1,Low-Activity Customers
459,543,1,23.99,Inactive Customers
460,524,2,64.96,Inactive Customers
461,245,2,164.48,Low-Activity Customers
462,544,1,17.3,Inactive Customers
463,535,2,69.05,Inactive Customers
464,17,5,173.17,Low-Activity Customers
465,449,2,85.96,Inactive Customers
466,488,2,73.91,Inactive Customers
467,531,2,27.73,Inactive Customers
468,289,3,78.85,Low-Activity Customers
469,544,1,11.97,Inactive Customers
470,544,1,15.76,Inactive Customers
471,500,2,167.79,Inactive Customers
472,514,3,158.03,Inactive Customers
473,544,1,34.97,Inactive Customers
474,135,3,122.06,Low-Activity Customers
475,544,1,43.13,Inactive Customers
476,544,1,13.97,Inactive Customers
477,544,1,21.99,Inactive Customers
478,544,1,14.37,Inactive Customers
479,544,1,17.9,Inactive Customers
480,544,1,13.99,Inactive Customers
481,544,1,13.97,Inactive Customers
482,543,1,15.76,Inactive Customers
483,529,1,24.99,Inactive Customers
484,30,5,117.49,Low-Activity Customers
485,62,15,1154.78,Engaged Customers
486,544,1,20.0,Inactive Customers
487,543,1,11.77,Inactive Customers
488,160,2,32.79,Low-Activity Customers
489,529,2,60.97,Inactive Customers
490,231,2,27.76,Low-Activity Customers
491,544,1,15.76,Inactive Customers
492,22,10,203.37,Low-Activity Customers
493,544,1,28.34,Inactive Customers
494,544,1,13.77,Inactive Customers
495,541,2,72.07,Inactive Customers
496,251,2,39.12,Low-Activity Customers
497,544,1,11.77,Inactive Customers
498,521,2,120.13,Inactive Customers
499,9,110,4378.55,High-Value Customers
500,544,1,21.74,Inactive Customers
501,544,1,30.39,Inactive Customers
502,264,2,32.35,Low-Activity Customers
503,544,1,15.36,Inactive Customers
504,203,3,196.73,Low-Activity Customers
505,186,3,56.88,Low-Activity Customers
506,479,1,25.78,Inactive Customers
507,544,1,13.97,Inactive Customers
508,383,2,26.53,Inactive Customers
509,544,1,15.7,Inactive Customers
510,544,1,11.99,Inactive Customers
511,544,1,28.76,Inactive Customers
512,544,1,11.77,Inactive Customers
513,539,1,12.97,Inactive Customers
514,544,1,11.77,Inactive Customers
515,544,1,19.94,Inactive Customers
516,544,1,14.99,Inactive Customers
517,543,1,9.98,Inactive Customers
518,543,1,14.96,Inactive Customers
519,16,8,222.14,Low-Activity Customers
520,543,1,24.98,Inactive Customers
521,543,1,27.13,Inactive Customers
522,543,1,23.99,Inactive Customers
523,249,5,116.73,Low-Activity Customers
524,543,1,11.99,Inactive Customers
525,291,2,40.76,Inactive Customers
526,543,1,52.68,Inactive Customers
527,538,1,14.79,Inactive Customers
528,543,1,71.44,Inactive Customers
529,543,1,8.97,Inactive Customers
530,543,1,11.97,Inactive Customers
531,543,1,58.99,Inactive Customers
532,543,1,15.9,Inactive Customers
533,543,1,29.58,Inactive Customers
534,543,1,11.77,Inactive Customers
535,503,1,13.97,Inactive Customers
536,543,1,26.69,Inactive Customers
537,543,1,14.37,Inactive Customers
538,543,1,9.99,Inactive Customers
539,378,2,33.24,Inactive Customers
540,543,1,13.97,Inactive Customers
541,543,1,51.3,Inactive Customers
542,543,1,45.67,Inactive Customers
543,543,1,37.98,Inactive Customers
544,481,1,14.96,Inactive Customers
545,248,4,321.34,Low-Activity Customers
546,33,5,685.46,Engaged Customers
547,54,11,284.99,Low-Activity Customers
548,50,8,151.46,Low-Activity Customers
549,440,2,71.44,Inactive Customers
550,543,1,23.95,Inactive Customers
551,543,1,125.02,Inactive Customers
552,543,1,24.96,Inactive Customers
553,543,1,15.75,Inactive Customers
554,539,1,60.27,Inactive Customers
555,543,1,39.48,Inactive Customers
556,529,2,202.28,Inactive Customers
557,542,1,29.6,Inactive Customers
558,543,1,49.67,Inactive Customers
559,29,3,243.27,Low-Activity Customers
560,543,1,44.97,Inactive Customers
561,21,11,361.21,Low-Activity Customers
562,372,2,23.93,Inactive Customers
563,371,2,52.4,Inactive Customers
564,30,24,657.87,Engaged Customers
565,441,2,118.98,Inactive Customers
566,99,4,156.39,Low-Activity Customers
567,64,5,291.87,Low-Activity Customers
568,6,4,79.0,Low-Activity Customers
569,245,3,101.23,Low-Activity Customers
570,151,3,216.17,Low-Activity Customers
571,503,2,53.5,Inactive Customers
572,14,7,173.38,Low-Activity Customers
573,258,3,31.72,Low-Activity Customers
574,460,2,52.87,Inactive Customers
575,543,1,19.99,Inactive Customers
576,543,1,14.99,Inactive Customers
577,543,1,29.99,Inactive Customers
578,543,1,15.96,Inactive Customers
579,543,1,13.9,Inactive Customers
580,543,1,15.36,Inactive Customers
581,543,1,14.37,Inactive Customers
582,236,3,111.45,Low-Activity Customers
583,141,6,206.43,Low-Activity Customers
584,529,1,11.77,Inactive Customers
585,45,12,329.16,Low-Activity Customers
586,224,33,2849.64,Engaged Customers
587,291,6,220.46,Low-Activity Customers
588,543,1,40.3,Inactive Customers
589,193,3,85.17,Low-Activity Customers
590,175,2,42.32,Low-Activity Customers
591,42,3,41.34,Low-Activity Customers
592,428,3,121.24,Inactive Customers
593,23,8,203.86,Low-Activity Customers
594,529,1,31.32,Inactive Customers
595,191,3,90.15,Low-Activity Customers
596,283,3,91.32,Low-Activity Customers
597,375,3,39.71,Inactive Customers
598,233,3,81.1,Low-Activity Customers
599,303,2,40.11,Inactive Customers
600,543,1,15.36,Inactive Customers
601,509,2,19.54,Inactive Customers
602,333,3,374.6,Low-Activity Customers
603,543,1,24.13,Inactive Customers
604,543,1,68.97,Inactive Customers
605,543,1,53.68,Inactive Customers
606,96,2,39.98,Low-Activity Customers
607,543,1,81.96,Inactive Customers
608,25,6,214.6,Low-Activity Customers
609,204,8,488.33,Low-Activity Customers
610,40,4,123.66,Low-Activity Customers
611,265,2,25.76,Low-Activity Customers
612,543,1,12.49,Inactive Customers
613,379,3,49.97,Inactive Customers
614,88,4,52.59,Low-Activity Customers
615,519,2,78.91,Inactive Customers
616,26,3,48.14,Low-Activity Customers
617,543,1,29.92,Inactive Customers
618,375,2,76.21,Inactive Customers
619,42,36,1025.01,Engaged Customers
620,543,1,13.77,Inactive Customers
621,532,2,32.27,Inactive Customers
622,543,1,59.97,Inactive Customers
623,543,1,32.72,Inactive Customers
624,251,6,216.87,Low-Activity Customers
625,249,2,41.25,Low-Activity Customers
626,42,4,387.87,Low-Activity Customers
627,543,1,15.76,Inactive Customers
628,543,1,21.99,Inactive Customers
629,60,6,274.63,Low-Activity Customers
630,543,1,37.47,Inactive Customers
631,76,3,41.32,Low-Activity Customers
632,508,2,29.33,Inactive Customers
633,340,6,244.23,Low-Activity Customers
634,507,1,13.97,Inactive Customers
635,65,8,598.57,Engaged Customers
636,543,1,27.92,Inactive Customers
637,543,1,12.97,Inactive Customers
638,27,2,42.48,Low-Activity Customers
639,538,2,27.94,Inactive Customers
640,543,1,15.36,Inactive Customers
641,543,1,35.12,Inactive Customers
642,532,1,16.99,Inactive Customers
643,61,10,255.67,Low-Activity Customers
644,543,1,9.77,Inactive Customers
645,103,4,101.18,Low-Activity Customers
646,140,3,40.72,Low-Activity Customers
647,365,2,71.97,Inactive Customers
648,536,2,124.94,Inactive Customers
649,204,2,48.94,Low-Activity Customers
650,543,1,15.36,Inactive Customers
651,543,1,24.99,Inactive Customers
652,543,1,11.77,Inactive Customers
653,68,4,122.65,Low-Activity Customers
654,428,2,75.22,Inactive Customers
655,395,2,63.91,Inactive Customers
656,80,3,169.89,Low-Activity Customers
657,543,1,71.49,Inactive Customers
658,543,1,14.96,Inactive Customers
659,27,17,670.0,Engaged Customers
660,543,1,9.97,Inactive Customers
661,543,1,12.77,Inactive Customers
662,110,5,153.71,Low-Activity Customers
663,8,11,242.08,Low-Activity Customers
664,543,1,23.54,Inactive Customers
665,543,1,11.97,Inactive Customers
666,374,2,44.28,Inactive Customers
667,335,4,220.64,Low-Activity Customers
668,461,2,119.03,Inactive Customers
669,543,1,26.14,Inactive Customers
670,21,4,103.53,Low-Activity Customers
671,193,2,25.76,Low-Activity Customers
672,367,2,37.3,Inactive Customers
673,543,1,14.77,Inactive Customers
674,331,8,170.27,Inactive Customers
675,543,1,24.99,Inactive Customers
676,543,1,22.54,Inactive Customers
677,543,1,58.98,Inactive Customers
678,543,1,15.36,Inactive Customers
679,543,1,46.69,Inactive Customers
680,543,1,15.96,Inactive Customers
681,543,1,29.98,Inactive Customers
682,513,2,84.58,Inactive Customers
683,431,3,187.88,Inactive Customers
684,543,1,13.97,Inactive Customers
685,543,1,8.77,Inactive Customers
686,543,1,32.37,Inactive Customers
687,81,2,47.38,Low-Activity Customers
688,543,1,14.37,Inactive Customers
689,372,5,61.25,Inactive Customers
690,543,1,21.75,Inactive Customers
691,2,13,411.62,Low-Activity Customers
692,543,1,12.49,Inactive Customers
693,391,2,31.32,Inactive Customers
694,543,1,15.99,Inactive Customers
695,524,2,51.93,Inactive Customers
696,543,1,37.11,Inactive Customers
697,543,1,13.97,Inactive Customers
698,60,7,148.41,Low-Activity Customers
699,197,2,21.47,Low-Activity Customers
700,542,1,89.54,Inactive Customers
701,543,1,16.7,Inactive Customers
702,147,7,134.19,Low-Activity Customers
703,542,1,121.34,Inactive Customers
704,161,4,85.35,Low-Activity Customers
705,161,2,36.42,Low-Activity Customers
706,543,1,17.36,Inactive Customers
707,543,1,12.49,Inactive Customers
708,543,1,24.98,Inactive Customers
709,543,1,14.9,Inactive Customers
710,5,61,2502.3,Engaged Customers
711,15,17,465.1,Low-Activity Customers
712,124,2,58.6,Low-Activity Customers
713,543,1,0.0,Inactive Customers
714,543,1,21.37,Inactive Customers
715,507,2,42.92,Inactive Customers
716,543,1,6.79,Inactive Customers
717,207,3,48.66,Low-Activity Customers
718,9,5,63.71,Low-Activity Customers
719,539,1,34.98,Inactive Customers
720,543,1,26.98,Inactive Customers
721,543,1,31.13,Inactive Customers
722,60,4,198.79,Low-Activity Customers
723,543,1,14.79,Inactive Customers
724,543,1,67.75,Inactive Customers
725,543,1,13.97,Inactive Customers
726,529,3,88.26,Inactive Customers
727,543,1,9.77,Inactive Customers
728,543,1,21.7,Inactive Customers
729,12,21,651.14,Engaged Customers
730,127,17,855.38,Engaged Customers
731,229,2,71.94,Low-Activity Customers
732,232,3,115.19,Low-Activity Customers
733,543,1,125.6,Inactive Customers
734,336,2,36.91,Inactive Customers
735,15,4,49.95,Low-Activity Customers
736,543,1,28.74,Inactive Customers
737,38,6,200.32,Low-Activity Customers
738,512,2,19.96,Inactive Customers
739,479,2,69.84,Inactive Customers
740,543,1,15.36,Inactive Customers
741,542,1,43.13,Inactive Customers
742,519,2,129.15,Inactive Customers
743,534,1,15.7,Inactive Customers
744,210,3,271.2,Low-Activity Customers
745,543,1,12.49,Inactive Customers
746,346,4,344.0,Low-Activity Customers
747,525,2,77.22,Inactive Customers
748,543,1,49.97,Inactive Customers
749,543,1,36.74,Inactive Customers
750,543,1,63.62,Inactive Customers
