CustomerID,Recency,Frequency,Monetary
238,338,5,305.19
239,545,1,28.74
240,479,2,30.95
241,52,4,100.55
242,529,2,65.43
243,544,1,17.96
244,20,25,1287.41
245,19,7,148.75
246,10,20,750.18
247,49,4,94.15
248,544,1,14.37
249,496,3,92.28
250,311,3,104.57
251,544,1,40.26
252,20,6,348.26
253,544,1,13.97
254,544,1,15.96
255,544,1,11.77
256,442,3,79.58
257,82,3,55.75
258,544,1,59.97
259,544,1,14.79
260,541,1,57.27
261,544,1,8.77
262,544,1,48.95
263,544,1,14.79
264,544,1,16.99
265,495,3,135.6
266,519,2,99.28
267,544,1,37.47
268,463,1,7.78
269,500,1,29.99
270,522,2,269.17
271,544,1,12.77
272,451,3,38.71
273,462,2,21.75
274,544,1,5.78
275,544,1,60.47
276,29,4,118.35
277,113,2,31.89
278,544,1,23.97
279,320,3,139.81
280,428,3,256.45
281,544,1,14.7
282,544,1,53.88
283,544,1,37.71
284,544,1,20.0
285,544,1,25.99
286,533,2,87.27
287,544,1,13.97
288,424,2,28.93
289,507,2,20.54
290,544,1,49.98
291,544,1,199.15
292,174,4,65.88
293,102,2,173.78
294,221,2,27.36
295,95,4,386.58
296,544,1,25.53
297,544,1,14.96
298,544,1,68.04
299,236,2,22.76
300,4,22,538.43
301,231,4,173.38
302,544,1,27.13
303,544,1,10.77
304,399,5,113.34
305,237,2,152.27
306,544,1,30.99
307,488,1,28.45
308,544,1,12.77
309,471,1,52.5
310,539,1,39.32
311,544,1,69.25
312,191,2,102.73
313,37,20,2432.29
314,533,3,231.13
315,472,3,88.86
316,334,4,72.23
317,144,5,231.15
318,169,3,64.49
319,539,2,41.69
320,544,1,9.99
321,544,1,103.05
322,360,2,52.33
323,8,9,412.75
324,276,2,59.01
325,544,1,72.82
326,544,1,14.37
327,544,1,40.7
328,0,24,692.62
329,123,5,93.97
330,544,1,14.96
331,544,1,16.36
332,544,1,15.36
333,544,1,15.9
334,544,1,40.11
335,540,2,26.73
336,544,1,11.77
337,61,2,38.03
338,544,1,25.74
339,221,5,411.84
340,544,1,46.3
341,338,2,106.6
342,544,1,17.9
343,240,4,177.43
344,36,17,580.12
345,242,2,90.25
346,544,1,26.76
347,544,1,15.36
348,339,2,97.52
349,544,1,44.88
350,544,1,46.37
351,544,1,8.77
352,510,2,16.76
353,503,2,69.23
354,544,1,14.99
355,539,2,82.81
356,544,1,28.74
357,510,2,91.45
358,55,5,118.92
359,544,1,76.45
360,36,6,102.75
361,128,2,37.73
362,544,4,58.0
363,543,2,36.96
364,540,1,29.97
365,100,12,297.8
366,544,1,15.36
367,544,1,44.77
368,267,2,135.58
369,544,1,7.98
370,190,4,193.89
371,200,2,35.47
372,434,2,36.73
373,176,9,262.18
374,16,7,247.82
375,324,4,107.41
376,18,3,90.81
377,544,1,38.5
378,512,2,29.8
379,513,4,89.85
380,542,1,47.08
381,356,3,50.41
382,544,1,12.49
383,544,1,30.72
384,544,1,11.97
385,373,2,21.78
386,544,1,18.99
387,25,13,841.13
388,544,1,10.77
389,24,10,571.76
390,542,1,15.36
391,543,1,32.0
392,544,1,58.91
393,544,1,29.16
394,528,2,56.75
395,544,1,26.99
396,29,7,260.62
397,425,2,104.63
398,0,44,1569.33
399,510,2,62.32
400,107,9,151.76
401,544,1,41.74
402,542,2,24.74
403,544,1,11.77
404,71,7,139.18
405,544,1,14.99
406,55,5,219.21
407,540,1,21.74
408,544,1,25.99
409,544,1,14.37
410,225,2,42.97
411,179,20,1769.3
412,164,2,45.8
413,544,1,25.94
414,503,1,43.95
415,544,1,31.99
416,544,1,47.98
417,299,4,214.98
418,544,1,24.98
419,544,1,108.72
420,544,1,16.36
421,364,5,206.83
422,412,5,215.32
423,544,1,24.99
424,20,8,293.94
425,544,1,14.99
426,544,1,10.99
427,544,1,11.97
428,544,1,14.99
429,16,3,102.4
430,48,4,183.55
431,14,6,303.61
432,544,1,64.44
433,15,7,284.94
434,544,1,33.31
435,544,1,40.7
436,397,5,158.27
437,544,1,28.13
438,544,1,24.96
439,544,1,41.11
440,544,1,14.96
441,27,10,219.25
442,544,1,14.79
443,529,2,39.98
444,544,1,13.97
445,100,8,200.7
446,1,6,112.23
447,544,1,19.94
448,544,1,36.71
449,528,2,84.99
450,386,2,59.66
451,528,1,24.99
452,481,2,24.74
453,406,2,181.16
454,232,4,92.28
455,544,1,0.0
456,222,7,478.53
457,536,3,509.26
458,49,6,92.1
459,543,1,23.99
460,524,2,64.96
461,245,2,164.48
462,544,1,17.3
463,535,2,69.05
464,17,5,173.17
465,449,2,85.96
466,488,2,73.91
467,531,2,27.73
468,289,3,78.85
469,544,1,11.97
470,544,1,15.76
471,500,2,167.79
472,514,3,158.03
473,544,1,34.97
474,135,3,122.06
475,544,1,43.13
476,544,1,13.97
477,544,1,21.99
478,544,1,14.37
479,544,1,17.9
480,544,1,13.99
481,544,1,13.97
482,543,1,15.76
483,529,1,24.99
484,30,5,117.49
485,62,15,1154.78
486,544,1,20.0
487,543,1,11.77
488,160,2,32.79
489,529,2,60.97
490,231,2,27.76
491,544,1,15.76
492,22,10,203.37
493,544,1,28.34
494,544,1,13.77
495,541,2,72.07
496,251,2,39.12
497,544,1,11.77
498,521,2,120.13
499,9,110,4378.55
500,544,1,21.74
501,544,1,30.39
502,264,2,32.35
503,544,1,15.36
504,203,3,196.73
505,186,3,56.88
506,479,1,25.78
507,544,1,13.97
508,383,2,26.53
509,544,1,15.7
510,544,1,11.99
511,544,1,28.76
512,544,1,11.77
513,539,1,12.97
514,544,1,11.77
515,544,1,19.94
516,544,1,14.99
517,543,1,9.98
518,543,1,14.96
519,16,8,222.14
520,543,1,24.98
521,543,1,27.13
522,543,1,23.99
523,249,5,116.73
524,543,1,11.99
525,291,2,40.76
526,543,1,52.68
527,538,1,14.79
528,543,1,71.44
529,543,1,8.97
530,543,1,11.97
531,543,1,58.99
532,543,1,15.9
533,543,1,29.58
534,543,1,11.77
535,503,1,13.97
536,543,1,26.69
537,543,1,14.37
538,543,1,9.99
539,378,2,33.24
540,543,1,13.97
541,543,1,51.3
542,543,1,45.67
543,543,1,37.98
544,481,1,14.96
545,248,4,321.34
546,33,5,685.46
547,54,11,284.99
548,50,8,151.46
549,440,2,71.44
550,543,1,23.95
551,543,1,125.02
552,543,1,24.96
553,543,1,15.75
554,539,1,60.27
555,543,1,39.48
556,529,2,202.28
557,542,1,29.6
558,543,1,49.67
559,29,3,243.27
560,543,1,44.97
561,21,11,361.21
562,372,2,23.93
563,371,2,52.4
564,30,24,657.87
565,441,2,118.98
566,99,4,156.39
567,64,5,291.87
568,6,4,79.0
569,245,3,101.23
570,151,3,216.17
571,503,2,53.5
572,14,7,173.38
573,258,3,31.72
574,460,2,52.87
575,543,1,19.99
576,543,1,14.99
577,543,1,29.99
578,543,1,15.96
579,543,1,13.9
580,543,1,15.36
581,543,1,14.37
582,236,3,111.45
583,141,6,206.43
584,529,1,11.77
585,45,12,329.16
586,224,33,2849.64
587,291,6,220.46
588,543,1,40.3
589,193,3,85.17
590,175,2,42.32
591,42,3,41.34
592,428,3,121.24
593,23,8,203.86
594,529,1,31.32
595,191,3,90.15
596,283,3,91.32
597,375,3,39.71
598,233,3,81.1
599,303,2,40.11
600,543,1,15.36
601,509,2,19.54
602,333,3,374.6
603,543,1,24.13
604,543,1,68.97
605,543,1,53.68
606,96,2,39.98
607,543,1,81.96
608,25,6,214.6
609,204,8,488.33
610,40,4,123.66
611,265,2,25.76
612,543,1,12.49
613,379,3,49.97
614,88,4,52.59
615,519,2,78.91
616,26,3,48.14
617,543,1,29.92
618,375,2,76.21
619,42,36,1025.01
620,543,1,13.77
621,532,2,32.27
622,543,1,59.97
623,543,1,32.72
624,251,6,216.87
625,249,2,41.25
626,42,4,387.87
627,543,1,15.76
628,543,1,21.99
629,60,6,274.63
630,543,1,37.47
631,76,3,41.32
632,508,2,29.33
633,340,6,244.23
634,507,1,13.97
635,65,8,598.57
636,543,1,27.92
637,543,1,12.97
638,27,2,42.48
639,538,2,27.94
640,543,1,15.36
641,543,1,35.12
642,532,1,16.99
643,61,10,255.67
644,543,1,9.77
645,103,4,101.18
646,140,3,40.72
647,365,2,71.97
648,536,2,124.94
649,204,2,48.94
650,543,1,15.36
651,543,1,24.99
652,543,1,11.77
653,68,4,122.65
654,428,2,75.22
655,395,2,63.91
656,80,3,169.89
657,543,1,71.49
658,543,1,14.96
659,27,17,670.0
660,543,1,9.97
661,543,1,12.77
662,110,5,153.71
663,8,11,242.08
664,543,1,23.54
665,543,1,11.97
666,374,2,44.28
667,335,4,220.64
668,461,2,119.03
669,543,1,26.14
670,21,4,103.53
671,193,2,25.76
672,367,2,37.3
673,543,1,14.77
674,331,8,170.27
675,543,1,24.99
676,543,1,22.54
677,543,1,58.98
678,543,1,15.36
679,543,1,46.69
680,543,1,15.96
681,543,1,29.98
682,513,2,84.58
683,431,3,187.88
684,543,1,13.97
685,543,1,8.77
686,543,1,32.37
687,81,2,47.38
688,543,1,14.37
689,372,5,61.25
690,543,1,21.75
691,2,13,411.62
692,543,1,12.49
693,391,2,31.32
694,543,1,15.99
695,524,2,51.93
696,543,1,37.11
697,543,1,13.97
698,60,7,148.41
699,197,2,21.47
700,542,1,89.54
701,543,1,16.7
702,147,7,134.19
703,542,1,121.34
704,161,4,85.35
705,161,2,36.42
706,543,1,17.36
707,543,1,12.49
708,543,1,24.98
709,543,1,14.9
710,5,61,2502.3
711,15,17,465.1
712,124,2,58.6
713,543,1,0.0
714,543,1,21.37
715,507,2,42.92
716,543,1,6.79
717,207,3,48.66
718,9,5,63.71
719,539,1,34.98
720,543,1,26.98
721,543,1,31.13
722,60,4,198.79
723,543,1,14.79
724,543,1,67.75
725,543,1,13.97
726,529,3,88.26
727,543,1,9.77
728,543,1,21.7
729,12,21,651.14
730,127,17,855.38
731,229,2,71.94
732,232,3,115.19
733,543,1,125.6
734,336,2,36.91
735,15,4,49.95
736,543,1,28.74
737,38,6,200.32
738,512,2,19.96
739,479,2,69.84
740,543,1,15.36
741,542,1,43.13
742,519,2,129.15
743,534,1,15.7
744,210,3,271.2
745,543,1,12.49
746,346,4,344.0
747,525,2,77.22
748,543,1,49.97
749,543,1,36.74
750,543,1,63.62
751,543,1,29.37
752,543,1,57.98
753,219,3,72.37
754,493,2,46.08
755,543,1,52.99
756,311,3,70.42
757,543,1,9.77
758,30,33,934.39
759,201,2,30.36
760,71,3,53.43
761,543,1,9.97
762,543,1,23.54
763,523,2,87.59
764,67,4,86.33
765,179,3,349.43
766,358,10,226.62
767,212,10,292.82
768,543,1,43.49
769,543,1,55.53
770,543,1,12.77
771,543,1,34.72
772,59,10,208.72
773,190,10,394.8
774,543,1,12.49
775,542,1,186.67
776,36,12,242.78
777,542,1,9.97
778,303,5,149.52
779,542,1,15.9
780,171,4,142.18
781,394,3,58.32
782,542,1,10.77
783,12,11,598.65
784,230,4,267.88
785,542,1,11.97
786,542,1,60.33
787,542,1,179.01
788,542,1,14.96
789,92,3,99.44
790,2,15,270.37
791,542,1,28.77
792,537,1,50.6
793,542,1,33.51
794,485,2,30.32
795,542,1,13.97
796,542,1,12.49
797,3,16,775.93
798,534,1,23.54
799,154,4,213.73
800,128,4,258.96
801,511,1,9.77
802,542,1,44.14
803,542,1,11.77
804,103,3,83.78
805,3,4,101.52
806,107,5,249.64
807,542,1,25.14
808,21,6,458.13
809,521,1,27.74
810,542,1,18.36
811,223,3,254.86
812,542,1,33.52
813,490,2,128.08
814,509,2,121.25
815,527,1,9.77
816,542,1,35.31
817,542,1,99.8
818,520,2,28.14
819,517,7,279.67
820,135,2,37.19
821,256,5,93.34
822,394,5,123.5
823,542,1,11.97
824,18,12,600.37
825,162,6,876.69
826,542,1,34.94
827,186,8,297.41
828,462,2,66.75
829,542,1,11.75
830,158,5,71.04
831,542,1,53.98
832,542,1,13.77
833,542,1,21.37
834,542,1,21.98
835,542,1,16.56
836,230,4,466.46
837,270,4,92.86
838,542,1,14.99
839,542,1,14.99
840,200,3,79.21
841,533,2,29.95
842,527,2,60.96
843,316,5,145.76
844,542,1,11.77
845,55,13,298.05
846,88,7,452.28
847,542,1,37.51
848,42,4,134.39
849,58,10,143.94
850,237,6,553.71
851,532,2,44.38
852,542,1,12.49
853,542,1,42.7
854,524,1,44.51
855,370,2,112.17
856,195,4,212.23
857,542,1,24.94
858,533,1,26.73
859,285,3,92.42
860,43,8,158.93
861,132,3,81.94
862,542,1,49.99
863,542,1,43.7
864,542,1,11.77
865,519,2,107.31
866,542,1,34.34
867,542,1,53.47
868,542,1,44.88
869,542,1,49.98
870,113,11,325.46
871,20,2,24.26
872,542,1,11.77
873,199,6,180.94
874,58,6,177.78
875,542,1,16.99
876,449,4,99.36
877,542,1,14.99
878,542,1,14.3
879,542,1,14.37
880,537,2,49.95
881,73,5,270.85
882,350,3,54.64
883,535,1,36.99
884,542,1,82.89
885,542,1,11.77
886,542,1,16.7
887,115,13,1024.84
888,537,1,9.98
889,521,2,33.35
890,500,2,47.08
891,17,5,156.27
892,0,6,153.05
893,542,1,109.28
894,153,6,116.44
895,423,2,37.71
896,56,9,180.31
897,542,1,36.35
898,542,1,14.99
899,542,1,145.47
900,542,1,28.33
901,235,2,41.92
902,542,1,20.54
903,542,1,22.77
904,514,3,45.28
905,317,5,64.64
906,542,1,38.76
907,542,1,15.36
908,542,1,0.0
909,542,1,27.13
910,39,14,283.41
911,542,1,42.67
912,475,4,73.06
913,542,1,12.77
914,542,1,27.94
915,189,4,82.18
916,542,1,89.24
917,542,1,8.97
918,205,3,136.59
919,475,1,68.29
920,40,9,250.26
921,540,1,24.98
922,539,1,47.48
923,110,6,249.24
924,282,2,84.94
925,542,1,0.0
926,183,3,134.94
927,178,4,327.36
928,429,3,103.36
929,455,3,175.64
930,511,3,74.02
931,26,6,91.33
932,109,2,25.44
933,449,7,392.04
934,380,2,51.02
935,542,1,24.98
936,542,1,14.99
937,536,1,16.36
938,108,4,441.01
939,542,1,14.9
940,542,1,25.13
941,120,7,135.27
942,147,3,52.3
943,478,2,34.98
944,542,1,35.99
945,214,5,93.63
946,152,8,214.99
947,506,2,74.23
948,341,2,75.72
949,542,1,45.69
950,535,1,68.47
951,101,4,157.56
952,542,1,31.98
953,542,1,15.36
954,542,1,58.66
955,468,2,97.62
956,542,1,34.69
957,542,1,68.65
958,542,1,117.1
959,540,1,17.9
960,542,1,27.77
961,541,1,98.38
962,26,9,213.93
963,542,1,75.81
964,542,1,14.37
965,39,8,106.5
966,542,1,21.75
967,498,1,33.35
968,134,6,67.15
969,542,1,14.96
970,528,2,32.98
971,339,2,26.74
972,542,1,29.33
973,542,1,46.99
974,542,1,18.36
975,541,1,95.73
976,542,1,13.97
977,542,1,28.99
978,437,2,25.39
979,96,6,399.59
980,19,8,493.23
981,101,2,308.38
982,541,1,48.5
983,541,1,137.11
984,541,1,44.69
985,199,3,176.18
986,541,1,77.25
987,491,2,41.9
988,292,5,246.7
989,541,1,14.96
990,538,2,51.31
991,33,3,121.82
992,196,6,284.89
993,204,3,54.24
994,211,2,42.43
995,472,2,35.31
996,541,1,79.55
997,262,8,256.25
998,74,5,279.87
999,61,4,102.15
1000,526,1,8.99
1001,408,3,73.03
1002,54,3,44.22
1003,541,1,44.75
1004,149,3,257.88
1005,541,1,31.32
1006,541,1,14.37
1007,517,2,46.95
1008,409,3,86.38
1009,496,2,40.6
1010,541,1,21.74
1011,540,1,54.67
1012,423,4,74.62
1013,541,1,38.99
1014,541,1,96.36
1015,541,1,19.7
1016,263,2,24.76
1017,541,1,9.97
1018,53,8,224.9
1019,531,2,51.75
1020,541,1,29.73
1021,345,2,73.44
1022,541,1,14.7
1023,541,1,24.98
1024,541,1,62.25
1025,14,5,113.32
1026,374,3,154.18
1027,371,2,28.14
1028,541,1,14.48
1029,450,3,243.61
1030,415,5,204.93
1031,541,1,31.32
1032,60,9,357.96
1033,541,1,55.88
1034,541,1,33.96
1035,489,2,108.93
1036,541,1,12.77
1037,28,3,215.17
1038,541,1,283.97
1039,263,4,74.34
1040,541,1,15.99
1041,136,2,93.91
1042,497,1,42.7
1043,541,1,75.82
1044,541,1,11.77
1045,30,5,149.13
1046,434,4,178.27
1047,539,1,32.31
1048,489,2,71.62
1049,541,1,14.37
1050,541,1,21.76
1051,541,1,13.97
1052,541,1,11.77
1053,121,3,108.0
1054,541,1,25.74
1055,541,1,33.4
1056,447,3,108.14
1057,496,3,93.18
1058,541,1,31.52
1059,541,1,155.37
1060,541,1,29.92
1061,541,1,11.77
1062,541,1,14.96
1063,397,2,52.48
1064,541,1,45.31
1065,479,2,63.54
1066,198,3,132.03
1067,541,1,71.45
1068,83,8,151.9
1069,420,3,65.06
1070,541,1,14.37
1071,19,4,226.71
1072,541,1,14.37
1073,541,1,26.99
1074,541,1,68.84
1075,7,4,63.83
1076,317,3,176.4
1077,9,49,3324.49
1078,34,3,45.84
1079,541,1,66.0
1080,541,1,14.99
1081,541,1,29.98
1082,89,2,79.73
1083,3,11,322.23
1084,36,4,185.1
1085,65,13,295.03
1086,205,4,83.29
1087,40,6,183.82
1088,541,1,47.07
1089,279,4,110.47
1090,541,1,17.56
1091,461,2,103.61
1092,5,10,290.18
1093,541,1,24.99
1094,17,10,183.23
1095,531,2,21.75
1096,541,1,13.97
1097,541,1,155.24
1098,541,1,11.77
1099,13,12,301.3
1100,365,4,71.09
1101,541,1,0.0
1102,540,1,51.88
1103,541,1,41.1
1104,71,2,62.69
1105,541,2,40.67
1106,541,1,14.37
1107,373,3,56.46
1108,116,18,190.81
1109,541,1,13.97
1110,541,1,75.45
1111,125,4,93.0
1112,541,1,11.77
1113,541,1,33.99
1114,184,2,48.97
1115,540,1,19.99
1116,541,1,14.37
1117,519,1,14.96
1118,541,1,9.77
1119,423,2,23.54
1120,127,4,56.71
1121,162,4,138.46
1122,321,2,81.77
1123,541,1,19.96
1124,541,1,26.13
1125,460,2,28.14
1126,540,1,64.28
1127,541,1,14.37
1128,541,1,13.99
1129,541,1,13.97
1130,541,1,14.99
1131,541,1,71.63
1132,66,4,79.38
1133,32,7,126.87
1134,541,1,42.98
1135,540,1,32.95
1136,541,1,11.77
1137,59,4,169.03
1138,541,1,16.0
1139,417,3,35.91
1140,541,1,13.97
1141,541,1,16.7
1142,492,1,29.9
1143,497,2,32.71
1144,500,1,43.11
1145,541,1,19.96
1146,541,1,28.14
1147,541,1,26.73
1148,91,8,98.77
1149,540,2,34.56
1150,541,1,37.97
1151,541,1,96.41
1152,293,4,52.53
1153,107,2,161.76
1154,526,2,20.15
1155,143,2,148.97
1156,305,4,76.61
1157,284,5,164.03
1158,308,2,94.93
1159,507,1,15.9
1160,509,3,382.23
1161,100,11,1244.34
1162,509,1,15.76
1163,541,1,17.9
1164,515,2,86.2
1165,541,1,9.98
1166,541,1,109.9
1167,73,8,415.29
1168,541,1,41.5
1169,493,1,13.97
1170,40,11,450.1
1171,30,13,468.04
1172,541,1,14.99
1173,541,1,28.19
1174,541,1,34.9
1175,540,1,53.08
1176,2,15,462.94
1177,541,1,77.07
1178,541,1,14.79
1179,541,1,15.36
1180,224,2,59.44
1181,541,1,12.97
1182,541,1,22.53
1183,11,8,371.08
1184,496,3,43.73
1185,230,5,367.82
1186,541,1,0.0
1187,541,1,11.99
1188,541,1,43.09
1189,529,1,16.3
1190,57,5,171.06
1191,541,1,45.29
1192,135,3,92.7
1193,541,1,23.99
1194,541,1,21.99
1195,23,17,746.04
1196,164,4,130.72
1197,541,1,28.93
1198,526,2,41.91
1199,541,1,26.73
1200,540,1,40.69
1201,9,2,127.94
1202,541,1,11.99
1203,355,2,60.05
1204,389,4,277.83
1205,321,6,403.25
1206,541,1,14.37
1207,487,1,14.37
1208,66,5,80.88
1209,541,1,31.51
1210,541,1,25.74
1211,541,1,9.97
1212,240,9,286.32
1213,206,2,95.97
1214,514,2,37.74
1215,541,1,72.64
1216,541,1,11.99
1217,461,2,55.93
1218,541,1,15.36
1219,541,1,26.34
1220,541,1,12.77
1221,150,5,198.94
1222,541,1,20.99
1223,541,1,56.51
1224,535,1,63.11
1225,541,1,0.0
1226,133,7,80.53
1227,266,2,38.03
1228,233,7,141.91
1229,131,10,347.61
1230,541,1,56.5
1231,541,1,25.74
1232,296,8,298.46
1233,541,1,29.92
1234,541,1,24.77
1235,541,1,14.9
1236,162,4,123.71
1237,26,4,48.72
1238,541,1,44.37
1239,541,1,38.39
1240,541,1,36.36
1241,153,5,132.57
1242,540,1,15.36
1243,435,2,69.67
1244,226,2,65.3
1245,541,1,9.77
1246,530,2,24.98
1247,1,6,243.45
1248,90,5,389.84
1249,394,3,166.3
1250,86,4,187.07
1251,56,8,202.05
1252,374,2,43.21
1253,541,1,28.74
1254,148,5,86.22
1255,541,1,64.84
1256,541,1,14.37
1257,154,4,112.71
1258,36,12,958.29
1259,451,2,66.93
1260,7,4,89.63
1261,540,1,39.98
1262,540,1,65.85
1263,112,2,88.4
1264,540,1,28.74
1265,540,1,34.74
1266,540,1,34.47
1267,540,1,13.97
1268,228,3,78.08
1269,540,1,14.96
1270,483,3,110.63
1271,540,1,23.95
1272,540,1,55.23
1273,330,2,39.29
1274,540,1,59.13
1275,540,1,14.37
1276,539,2,47.66
1277,334,2,41.5
1278,540,1,29.33
1279,540,1,39.0
1280,540,1,22.7
1281,534,1,12.97
1282,540,1,283.97
1283,371,2,172.01
1284,31,9,272.31
1285,540,1,116.73
1286,540,1,50.27
1287,540,1,53.05
1288,540,1,81.26
1289,232,2,86.61
1290,191,3,62.46
1291,497,2,104.6
1292,99,6,122.5
1293,62,3,114.82
1294,138,6,327.44
1295,505,1,90.56
1296,95,3,83.44
1297,505,2,112.04
1298,508,3,115.59
1299,540,1,30.0
1300,540,1,45.29
1301,191,2,69.42
1302,540,1,125.82
1303,540,1,13.97
1304,540,1,26.14
1305,538,1,18.99
1306,540,1,38.5
1307,540,1,13.97
1308,540,1,26.14
1309,187,3,152.38
1310,198,5,208.99
1311,540,1,69.22
1312,539,1,105.57
1313,28,4,139.79
1314,28,14,388.7
1315,540,1,63.69
1316,60,7,151.33
1317,540,1,32.98
1318,540,1,33.99
1319,540,1,27.94
1320,540,1,45.33
1321,540,1,52.27
1322,538,2,66.22
1323,324,4,135.3
1324,540,1,14.79
1325,540,1,87.4
1326,540,1,12.49
1327,469,5,144.86
1328,540,1,34.94
1329,106,4,101.18
1330,343,4,119.93
1331,540,1,11.77
1332,468,3,163.85
1333,234,2,71.97
1334,540,1,14.37
1335,540,1,25.99
1336,540,1,51.47
1337,540,1,14.37
1338,540,1,12.97
1339,439,2,26.73
1340,540,1,9.98
1341,20,3,74.67
1342,197,7,232.72
1343,26,3,35.52
1344,68,9,187.76
1345,540,1,39.5
1346,165,2,35.73
1347,540,1,25.14
1348,536,2,116.39
1349,14,13,313.22
1350,540,1,156.0
1351,540,1,9.99
1352,540,1,67.84
1353,540,1,26.94
1354,407,2,471.1
1355,540,1,13.77
1356,57,6,161.92
1357,334,5,194.58
1358,242,3,82.48
